Provincia;Anio;Trimestre;01_alimentos;02_tabaco;03_vestido;04_vivienda;05_hogar;06_sanidad;07_transporte;08_comunicaciones;09_ocio;10_enseñanza;11_restaurantes;12_otros;00_general
Toledo;2014;2;0.14921360694075902;0.924120781098976;0.2021968214713388;0.6826993306036635;0.6348571448429429;0.08988073621669547;0.6678039189106073;0.2863279334891449;0.40609432374465565;0.29278224574977163;0.5392471662019176;0.5040025028929236;0.257256940386809
Toledo;2014;3;0.15480005062688199;0.9155206254560203;0.5658278842696817;0.6880269243069259;0.6877878059508752;0.09588262726596398;0.6043429408423332;0.28586395763830724;0.4483614678265351;0.30071171532708146;0.47469906065158124;0.4854442806368559;0.3029040139837545
Toledo;2014;4;0.10381459842138485;0.9129690157315439;0.4683085991273661;0.6379464260364431;0.7849709103350317;0.05410187162978846;0.5542263196802929;0.2854872438581294;0.5410576133980084;0.2965286939587905;0.48879624695251506;0.5189724685410346;0.31230038624878115
Toledo;2015;1;0.07695439097469343;0.9038357539345717;0.6634594068026253;0.5261064883344385;0.6633564856349862;0.057171838952105425;0.561555379655989;0.2796351042187669;0.4871558263764641;0.27948102249438606;0.47120555961192984;0.4607137396024729;0.2431469212756123
Toledo;2015;2;0.030176754168409443;0.9008593935370929;0.20169524798398997;0.6187963501695645;0.6871140790304308;0.18233573631468855;0.6058180406226789;0.2805391588942014;0.5631823393001082;0.2794431460217459;0.4204681228225477;0.4397031488066397;0.16543575585545847
Toledo;2015;3;0.1092282072188943;0.8922519066220418;0.6170216415298585;0.3815074617941039;0.6128558670068379;0.04643432824332541;0.4449600253786122;0.2811882313510705;0.567502974584716;0.291479632059862;0.42238390675761117;0.37865470969577153;0.1407533347226828
Toledo;2015;4;0.18051443584635604;0.8970522612488305;0.4783509787510594;0.1321028778420302;0.7200489002645575;0.13317564026802073;0.5009917181497621;0.28101464781496166;0.5819681788720986;0.2964039732807247;0.4237243512259177;0.35570149598496;0.17389381036916943
Toledo;2016;1;0.09593725571051802;0.9174282584947524;0.7066739454264517;0.02219058045258705;0.7512616410402706;0.22808516156012773;0.47855344644604364;0.2815808067992888;0.6082513868896888;0.24356391314080908;0.4257927922769708;0.3841603892481757;0.1325420948611219
Toledo;2016;2;0.08245697147709982;0.9206510592324543;0.15992767230427568;0.007311142621366548;0.6373370908589084;0.25023876524634026;0.5458442647922573;0.2825027041359414;0.4816329586410341;0.23612622230010416;0.42745953864952585;0.35058351615179256;0.05939137182815033
Toledo;2016;3;0.330739705954797;0.9280158060825562;0.6528443106785483;0.0;0.6351349578346304;0.13302479528386044;0.42350945597317186;0.28303704542273045;0.5589408939717836;0.24193318565498398;0.3318301347054484;0.36839320592913866;0.14147680328779105
Toledo;2016;4;0.2616504037044067;0.9131555825731112;0.48203760036248816;0.07631187757340632;0.6027267288863062;0.17333856745543685;0.5580776845297971;0.2836083613972131;0.4622522401257032;0.23078602363745274;0.39097174385416605;0.35036246101428875;0.1324679239259454
Toledo;2017;1;0.22605778895741604;0.8933525380208858;0.7361868974223543;0.27274616248790684;0.5776931703977015;0.18336486145626626;0.6214534827580813;0.2830113556772092;0.41645273879933525;0.22876712328767038;0.3435004458661218;0.33058220607289646;0.17158463215422545
Toledo;2017;2;0.3487435630257867;0.8915662538522748;0.15099452870507288;0.1538340506665791;0.5751867743038487;0.21859262744973665;0.553219921450584;0.284208119650687;0.4170190478603664;0.22876712328767038;0.36275166794772695;0.1832242734390418;0.054271930918782234
Toledo;2017;3;0.38080995678815777;0.8775819704605691;0.6464026962581833;0.13737492531783646;0.5634500833211895;0.3020753628547554;0.5680913268549447;0.2847819046989748;0.46985334618368;0.2083686083536241;0.34084091606625405;0.21594847566254782;0.20577056910762273
Toledo;2017;4;0.35264349072507745;0.8595952528715425;0.5245535302360924;0.19658310254676756;0.5001733853879833;0.3643802235877593;0.6236363299969082;0.2851421557991569;0.42182920290537806;0.2332798589874968;0.41404848407239414;0.28728903342208745;0.20219443998023548
Toledo;2018;1;0.3300380597872563;0.8577837522399469;0.7381326330460801;0.21850301327727562;0.4386582668291837;0.2975773814972169;0.6287680657356011;0.2864129924298464;0.4274059123204308;0.22220810570448377;0.540542433966882;0.2859340578086931;0.2921573396365065
Toledo;2018;2;0.47669433843674885;0.8306500068041931;0.15291322380562852;0.4176465221099889;0.38041857940694207;0.2243696826161635;0.7007879970682227;0.2933000860800268;0.5039694427067806;0.22589251683394648;0.5154199744128473;0.23772988340422832;0.21009346740595647
Toledo;2018;3;0.5130398598408771;0.8055242892385589;0.6713547336196254;0.6256260377667556;0.2187545050595147;0.35158742191772424;0.6772820148540125;0.290613312109911;0.4345402547760216;0.21685431204983274;0.47334019511548187;0.2868672716521047;0.32909305904232483
Toledo;2018;4;0.5358623289784342;0.8297576374624199;0.48676166186552616;0.5313684806823463;0.20597095478539343;0.2902352550906003;0.6578208355697259;0.28350132457874017;0.5211737885947118;0.20505677465476024;0.499962372460411;0.2213544796390647;0.3439171577579683
Toledo;2019;1;0.47157013375573115;0.7110667963711546;0.7489699440538246;0.4417189266841572;0.36283548286809175;0.22984979521612267;0.6528440131932188;0.287270099872244;0.6386458076270798;0.23177786347859597;0.5407134760578495;0.35114509594877896;0.3471254968119235
Toledo;2019;2;0.5475560246341692;0.6672967592946231;0.14626240661910692;0.5946439159216176;0.2696278203051044;0.21600377498153348;0.6776447779055106;0.29065644650229644;0.5968401079985607;0.231863564297038;0.41913688308354163;0.4208789716878046;0.2644632938687021
Toledo;2019;3;0.37299468535775415;0.6698786213285072;0.6620652394631452;0.5224494188239251;0.34429023241502654;0.19018662279260176;0.6834556189782685;0.29873527407517325;0.5497988705912904;0.1995140784135667;0.3594069129324207;0.4070139374636672;0.3102859623289422
Toledo;2019;4;0.44354815227713235;0.6498143440366444;0.4976802957011259;0.5178577672511792;0.48346670246439877;0.22711343587938151;0.7640548151026451;0.2946145112388782;0.45599418796474867;0.20568737713162333;0.4865120697461843;0.42796228048102963;0.5101680589907022
Toledo;2020;1;0.6043816670446412;0.6094745592717946;0.7347357973326925;0.27348759818672314;0.5599676457694248;0.3369424786909323;0.6530176583912896;0.3013416913863479;0.5072980383673068;0.2216634955150855;0.6547157610735891;0.47573844299933493;0.44313512464132315
